Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,6.20000000000001,7.2,8.2,9.5,10.9,12.2,13.85,15.3,16.7,18.4,20,21.8,23,24.8,26.1,27.4,28.6,29.7,30.9,31.9,33.2,..,..
Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,Albania,ALB,..,..,..,..,..,..,..,..,..,..,38.2,40.5,43.2,46.4,49,51.9,54.8,58.1,60.8,63.6,66.5,68.9,71.3,73.15,74.6,76.2,77.8,78.7,79.8,80.7,81.3,..,..
Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,Australia,AUS,..,..,..,..,..,..,..,..,..,..,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,..,..
Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,Argentina,ARG,..,..,..,..,..,..,..,..,..,..,95,95.6,96.1,96.45,97.2,97.5,98.1,98.3,98.6,98.9,99.1,99.3,99.5,99.6,99.7,99.7,99.8,99.8,99.8,99.9,99.9,..,..
Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,Bangladesh,BGD,..,..,..,..,..,..,..,..,..,..,8.3,8.3,8.4,8.6,8.9,9.2,9.8,10.3,11,11.8,12.7,13.7,14.7,15.8,17.1,18.3,19.3,20.6,21.9,23.4,25,..,..
Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,Brazil,BRA,..,..,..,..,..,..,..,..,..,..,89,89.7,90.1,90.6,91.1,91.6,92.1,92.6,93.1,93.6,94,94.3,94.7,95,95.2,95.4,95.7,95.7,95.8,95.8,95.9,..,..
Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,Canada,CAN,..,..,..,..,..,..,..,..,..,..,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,..,..
Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,Colombia,COL,..,..,..,..,..,..,..,..,..,..,78.1,78.9,79.7,80.7,81.5,82.4,83,83.8,84.6,85.4,86.3,87,87.6,88.45,89.1,89.75,90.7,91.2,92,92.5,93.2,..,..
"Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,""Egypt, Arab Rep."",EGY,..,..,..,..,..,..,..,..,..,..,83.5,86.7,89.4,92,93.85,95.5,96.7,97.6,98.2,98.8,99.1,99.4,99.55,99.7,99.8,99.8,99.8,99.9,99.9,99.9,99.9,..,.."
Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,Ethiopia,ETH,..,..,..,..,..,..,..,..,..,..,0.900000000000001,0.900000000000001,0.99999999999999,1,1.09999999999999,1.1,1.3,1.4,1.6,1.9,2.1,2.5,2.9,3.2,3.7,4.3,4.9,5.45,6.19999999999999,7,7.8,..,..
Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,Germany,DEU,..,..,..,..,..,..,..,..,..,..,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,..,..
Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,India,IND,..,..,..,..,..,..,..,..,..,..,22.3,23.4,24.7,25.9,27.3,28.6,29.5,30.55,32,34,35.4,37.2,39.6,41.6,44.8,48.2,51.4,55.8,59.8,63.9,67.9,..,..
Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,Indonesia,IDN,..,..,..,..,..,..,..,..,..,..,6.10000000000001,6.9,8.00000000000001,9.3,11.3,14.1,17.9,22.5,28.5,34.7,41.3,47.3,52.9,58,62.8,67.1,71.2,75.1,78.7,81.85,84.5,..,..
"Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,""Iran, Islamic Rep."",IRN,..,..,..,..,..,..,..,..,..,..,93.2,93.6,94.3,94.6,95.1,95.3,95.8,96,96.1,96.4,96.5,96.8,96.7,96.6,96.7,96.6,96.7,96.7,96.5,96.4,96.1,..,.."
Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,Iraq,IRQ,..,..,..,..,..,..,..,..,..,..,74.1,77,79.4,82.2,84.9,87,89.1,90.9,92.6,93.9,95,96.05,96.7,97.3,97.7,98.1,98.3,98.7,98.8,98.9,99,..,..
Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,Italy,ITA,..,..,..,..,..,..,..,..,..,..,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,..,..
Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,Japan,JPN,..,..,..,..,..,..,..,..,..,..,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,..,..
Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,Kenya,KEN,..,..,..,..,..,..,..,..,..,..,1.8,2.2,2.6,3.09999999999999,3.6,4.2,4.8,5.3,6.00000000000001,6.60000000000001,7.20000000000001,8,8.70000000000001,9.60000000000001,10.6,11.6,13,14.4,16,17.7,19.5,..,..
Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,Mexico,MEX,..,..,..,..,..,..,..,..,..,..,82.4,83.1,84.1,84.6,84.9,85.3,85.3,85.4,85.4,85.2,85,84.85,84.6,84.6,84.6,84.6,84.8,84.8,84.8,84.9,84.9,..,..
Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,Morocco,MAR,..,..,..,..,..,..,..,..,..,..,90.6,91.3,92,92.7,93.2,94,94.35,95,95.6,96,96.5,96.7,97.1,97.3,97.4,97.7,97.8,97.9,97.9,98,98.1,..,..
Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,Peru,PER,..,..,..,..,..,..,..,..,..,..,43.1,45.7,48.7,51.2,53.8,56.2,58.3,60.3,62.3,63.8,65.9,67.5,69.7,71.7,73.7,75.8,77.7,79.6,81.5,83.25,85.1,..,..
Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,Philippines,PHL,..,..,..,..,..,..,..,..,..,..,37.9,39.15,39.6,40.1,40.9,40.9,41.4,40.9,40.8,40.9,40.7,40.6,40.7,40.9,42,42.2,43.3,44.1,45.4,46.5,48,..,..
Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,Russian Federation,RUS,..,..,..,..,..,..,..,..,..,..,99.9,99.9,99.8,99.7,99.6,99.4,99,98.7,98.2,97.7,97,96.1,95.3,94.4,93.5,92.3,91.2,90.3,89.2,87.8,86.3,..,..
Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,South Africa,ZAF,..,..,..,..,..,..,..,..,..,..,55.9,57.8,60,62.1,64.4,66.8,69,71.4,73.5,75.4,77.1,78.8,80.2,81.5,82.65,83.4,84.4,85.2,85.7,86.3,86.8,..,..
Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,Spain,ESP,..,..,..,..,..,..,..,..,..,..,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,..,..
Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,Sweden,SWE,..,..,..,..,..,..,..,..,..,..,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,..,..
Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,Thailand,THA,..,..,..,..,..,..,..,..,..,..,56.9,58.6,61.1,63,64.6,66.4,68.2,69.6,71.1,72.6,73.6,74.7,75.9,77.1,77.9,78.9,80.1,80.8,81.7,82.7,83.6,..,..
Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,United Kingdom,GBR,..,..,..,..,..,..,..,..,..,..,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,..,..
