,"Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)"
"Countries, territories and areas","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000"
"Afghanistan","15.53","14.83","14.21","12.62","11.82","10.11","9.53","8.81","7.90","8.56","8.57","9.82","10.26","9.90","10.62","9.95","9.81","8.94","9.44","",""
"Albania","","","6.66","6.55","6.67","6.48","6.44","6.27","6.09","6.12","6.24","5.73","5.51","5.71","5.69","5.83","6.06","6.20","5.66","5.93","5.94"
"Argentina","9.98","9.47","9.50","10.44","9.00","10.23","9.67","9.78","9.83","9.42","9.45","9.46","8.18","7.83","7.64","7.61","7.23","6.89","7.39","8.37","8.22"
"Australia","10.65","10.23","10.07","10.13","10.09","10.18","9.85","8.75","8.67","8.54","8.42","8.55","8.25","8.06","7.98","7.97","8.09","7.88","7.88","7.68","7.60"
"Bangladesh","2.63","2.62","2.72","2.78","2.86","2.72","2.73","2.75","2.82","2.83","2.74","2.62","2.54","2.60","2.52","2.45","2.38","2.35","2.30","2.10","2.11"
"Brazil","10.31","9.61","9.46","9.47","9.17","8.91","8.40","7.98","7.74","7.79","7.95","8.39","8.01","8.20","8.25","8.04","8.12","8.19","8.70","8.55","8.33"
"Canada","12.94","10.95","10.85","10.86","11.03","10.74","10.26","10.41","10.51","10.41","10.70","10.72","9.61","9.45","9.34","9.04","9.07","9.01","8.86","8.62","8.25"
"Colombia","8.99","8.12","7.63","7.68","7.53","7.52","7.19","7.02","6.75","6.78","7.07","7.31","6.84","6.49","6.34","6.07","5.80","5.78","5.73","5.94","5.64"
"Egypt","4.36","4.84","4.99","5.63","5.36","5.34","5.03","4.92","4.71","4.36","4.15","4.38","4.47","4.44","4.84","4.92","4.86","5.22","5.51","5.40","4.92"
