,"Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$"
"Countries, territories and areas","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000"
"Afghanistan","80.29","74.23","71.33","66.91","61.49","60.06","60.19","56.31","52.61","52.36","46.58","43.26","39.97","32.72","28.92","25.11","21.43","17.81","17.01","",""
"Albania","","","350.83","296.00","274.44","256.13","295.45","277.58","259.53","271.96","255.41","235.40","240.44","204.80","168.42","154.88","141.91","111.46","78.99","73.79","65.15"
"Argentina","863.71","958.52","1122.47","1525.59","1149.31","1525.05","1280.61","1415.21","1361.99","1202.56","980.14","781.78","742.90","569.29","453.64","390.80","310.22","260.98","222.65","671.37","704.95"
"Australia","5901.11","5555.37","5864.39","5816.26","5454.00","5324.34","6139.39","5843.17","6071.65","5909.15","4975.47","4011.93","4107.01","3815.34","3194.03","3014.10","2760.83","2240.75","1763.70","1559.82","1636.53"
"Bangladesh","50.66","47.67","44.74","42.28","39.56","33.54","30.30","27.41","23.90","23.29","21.15","18.21","16.00","14.41","12.38","11.62","11.11","10.31","9.38","8.42","8.62"
"Brazil","700.71","850.43","863.28","937.34","795.94","782.52","1013.57","977.82","953.70","1028.08","893.78","719.43","705.13","600.64","483.92","383.55","294.38","250.31","245.66","268.65","310.61"
"Canada","5619.42","5083.73","5052.68","4900.67","4668.24","4679.98","5231.95","5484.81","5541.58","5437.85","5096.12","4392.14","4491.23","4221.93","3788.69","3291.22","2916.25","2552.26","2149.38","2055.76","2001.67"
"Colombia","477.27","522.55","517.16","495.30","447.24","468.59","586.68","579.91","546.55","501.27","452.15","383.43","378.18","309.04","239.39","209.25","159.19","129.33","131.78","138.04","134.29"
"Egypt","150.91","145.31","120.22","107.99","145.28","173.52","158.21","142.60","142.76","118.70","107.42","101.22","92.33","75.13","68.03","60.99","51.60","51.60","65.59","70.37","71.04"
"Ethiopia","28.70","26.23","23.85","24.51","24.67","23.53","21.90","19.54","20.29","14.84","16.41","15.36","13.22","11.79","8.53","6.56","5.80","5.76","5.19","5.55","5.32"
"Germany","5930.33","5478.10","5504.00","5064.84","4742.96","4624.63","5307.38","5099.89","4765.69","5037.51","4611.42","4674.92","4669.76","4182.92","3698.04","3558.21","3459.82","3152.79","2567.50","2346.67","2344.35"
"India","56.63","60.67","57.70","56.90","59.96","58.35","56.57","55.67","48.61","48.32","44.90","38.12","37.69","35.66","29.39","27.50","24.92","21.88","20.14","19.72","18.45"
"Indonesia","132.96","120.59","111.91","111.51","107.53","97.16","103.06","103.38","106.90","108.03","86.36","62.98","59.80","56.52","44.81","34.41","26.21","25.74","19.15","17.03","15.54"
