Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
GNI (current US$),NY.GNP.MKTP.CD,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12120176204.6696,15661395678.8993,18170576453.7869,20235386309.096,20636233966.8638,20548204590.5935,20178945326.1251,18199126227.7945,19145017023.3571,18610257350.0941,19205014964.7728,20332384124.9184,14910923351.9261,..
GNI (current US$),NY.GNP.MKTP.CD,Albania,ALB,2026653750,1077859027.77778,617074990.170926,1219215468.95285,1894751525.25858,2436364853.42107,3271323621.58836,2308847102.93115,2622487165.91691,3287389862.41854,3585007221.82101,4048094111.09564,4457186384.03827,5762066193.23098,7353974652.91914,8214104793.91771,9158292067.34935,10975296230.4775,12946374021.6891,11852739420.9823,11807765688.1544,12894104016.2227,12228065466.1217,12996539294.3261,13349419700.4171,11521808375.0854,12053832974.203,13051480688.4971,15137993151.167,15200249154.3075,14881636667.2803,18006189075.0115,..
GNI (current US$),NY.GNP.MKTP.CD,Argentina,ARG,135150027050.147,183857364656.529,224530580052.493,233743662862.863,253743263100,253362890700,266647700700,286641204400,291542201400,276059280100,276655968900,260969968100,92763789032.7018,122451951871.839,146361588317.154,176153368006.277,224897476611.227,279994211725.862,352615480862.974,322744327792.305,409192468872.686,515009551032.822,533073608485.977,540185748561.537,515532241212.846,583615452086.538,545250717485.872,627200729011.574,506093900950.347,430166720596.329,375535785072.697,477411894672.847,..
GNI (current US$),NY.GNP.MKTP.CD,Australia,AUS,300587148903.424,312893022525.704,312976236253.172,303828695896.571,315714285714.286,355461835461.835,387127465857.36,420990765377.993,387069117547.311,377238375736.308,403861081454.5,368737254481.056,384852971954.793,454347699475.83,596843790012.804,669566982408.66,718846960167.715,816375912695.297,1012551477170.99,896087468708.585,1104085263806.92,1342343488119.89,1499868014023.51,1537179645018.98,1429235288717.53,1323177469007.41,1178148202067.26,1290510596575.91,1383588869079.92,1345720926906.02,1297066630915.67,1535457123665.95,..
GNI (current US$),NY.GNP.MKTP.CD,Bangladesh,BGD,32234055489.6909,31618548375.3501,32478635867.374,34069217830.6878,34824471356.6085,39096763694.0298,47649633251.8337,49613348946.1358,51415660792.9515,52841410149.7504,55101749155.2375,55629781319.4959,56908044576.0056,62584110535.4059,67925445897.7408,72520666666.6667,75870230199.5235,84719837822.1836,98684113103.0462,110602682464.565,124617096900.553,138823234444.331,144641656947.692,162054146628.501,184407434331.997,207742686491.099,277662793832.598,303896929001.404,334230905986.902,365625699161.72,389378636013.591,438175109838.667,..
GNI (current US$),NY.GNP.MKTP.CD,Brazil,BRA,380339036380.184,334931411093.569,321997047142.546,359329728432.148,505179284391.702,758586196666.96,839052100885.484,868630774082.402,845870879382.865,581160970747.041,636572488743.445,541809337546.816,492686370291.741,540514142908.205,649520357833.92,865856109061.781,1079922925389.6,1367409106928.25,1654242306303.85,1630132840202.06,2140639114483.86,2548973132352.94,2403681256873.69,2438446843189.09,2410227796260.09,1768302238329.98,1757603662733.08,2024930461458.92,1863643739312.5,1822980993357.84,1417763933368.25,1565632571166.39,..
GNI (current US$),NY.GNP.MKTP.CD,Canada,CAN,574627185464.518,592228332024.09,573080168776.371,559372141694.442,559172524897.481,585086709414.165,609656032269.894,634690885454.283,612674755645.433,655584572928.586,725237357753.687,718179235537.19,741406996750.143,873515809007.209,1004566487317.45,1149135996038.95,1298296897038.08,1447200446885.76,1530173383317.71,1350956171813.49,1585379875651.19,1759453773319.65,1795919869603.49,1818471075757.13,1776572160702.32,1532663548013.94,1509327936731.45,1628291572163.23,1695996608536.1,1719638539211.23,1627048914857.45,1974180237151.92,..
GNI (current US$),NY.GNP.MKTP.CD,Colombia,COL,45539094152.431,47086381862.0962,56161793342.7437,64491312565.3626,80213040694.7975,90911003096.5725,95097412814.6927,104334000798.451,96748227324.8217,84832744079.29,97729902123.7903,95787969671.1632,95331633503.9279,91408959391.8307,113017243988.227,141898548078.515,157323196936.223,199828047569.145,233822917953.775,225492722770.146,276601389825.28,320740403869.768,356736300421.31,368902725212.003,370282754287.936,289657006288.123,279697108171.184,306544099201.043,325924723783.16,316057669689.526,267841971759.882,309255500360.225,..
GNI (current US$),NY.GNP.MKTP.CD,"Egypt, Arab Rep.",EGY,41873798698.9681,37631036490.5284,42069286522.4325,46801231452.581,52113583392.6453,60485845060.4541,68066516981.1321,78947678171.0914,85684807556.0803,91221904806.8416,100305543960.076,97756136118.5984,85241867415.7303,80181261538.4615,78575767532.4675,89346865557.4043,107956786956.522,131614828371.278,164177881818.182,189300605444.646,214618966061.706,229940172977.625,272637266666.667,281027708527.132,298332708895.265,323665676819.407,327970017791.411,231165195652.174,243433399437.254,292071265603.645,353898651278.852,391743566093.053,..
GNI (current US$),NY.GNP.MKTP.CD,Ethiopia,ETH,12108119661.8358,13390412125.6039,10429217520.0714,8734430671.62956,6848460204.38158,7603562639.92836,8504359178.89306,8492265911.60901,7751811217.66928,7648343127.98732,8182263337.46518,8180069454.11753,7797207615.85915,8557581131.63568,10067656708.6258,12365354408.4331,15242461910.6314,19721806402.0923,27086850118.9961,32395738209.0412,29825574928.2445,31883271774.1935,43214529006.0852,47541429851.2713,55459432981.0435,64326834729.9906,74053937524.5784,81285191646.1807,83892033920.3775,95322999764.7411,107045139885.794,110714009273.047,..
