Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,Afghanistan,AFG,0.2497999966,..,..,..,..,..,..,..,..,..,0.3,0.39,0.39,0.39,0.39,0.42,0.42,0.42,0.42,0.42,0.43,0.44,0.53,0.53,0.5,0.5,0.5,0.39,..,..,..,..,..
"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,Albania,ALB,4.0248999596,3.9986999035,4.0134000778,3.8313999176,3.0171000957,3.1900000572,3.1400001049,3.0499999523,3.0499999523,3.0299999714,3.26,3.26,3.14,3.07,3.01,3.08,3.12,3.09,..,3.01,2.99,2.88,2.88,2.89,..,..,..,..,..,..,..,..,..
"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,Australia,AUS,..,9.1999998093,8.8999996185,8.8999996185,8.6999998093,8.6999998093,8.5,8.3000001907,8.1999998093,7.9000000954,4.04,3.95,3.93,3.97,4,3.9,3.93,..,3.82,3.77,3.78,3.79,3.75,3.74,3.79,3.82,3.84,..,..,..,..,..,..
"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,Argentina,ARG,4.5942997932,..,..,4.5999999046,..,..,3.2899999619,..,..,..,4.1,..,..,..,..,4,..,..,..,..,4.5,4.39,4.59,4.78,4.84,4.96,4.95,4.99,..,..,..,..,..
"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,Brazil,BRA,3.3452999592,..,..,3.5,..,..,3.1099998951,..,..,..,2.82,2.78,2.59,2.42,..,2.52,2.48,2.47,2.44,2.43,2.37,2.31,2.27,2.25,2.22,2.15,2.11,2.09,..,..,..,..,..
"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,Bangladesh,BGD,0.3041999936,0.3080999851,..,..,0.3048999906,..,..,..,..,0.3000000119,..,0.3,0.34,..,..,0.3,..,..,..,..,..,0.6,..,..,0.6,0.77,0.79,..,..,..,..,..,..
"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,Canada,CAN,6,5.8000001907,5.5,5.4000000954,..,5,4.5999999046,4.4000000954,4.1999998093,3.9000000954,3.77,3.69,3.64,3.5,3.44,3.1,3.02,2.96,2.85,2.8,2.78,2.8,2.79,2.72,2.67,2.62,2.6,2.53,2.55,2.52,..,..,..
"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,Colombia,COL,1.3667000532,..,..,1.2999999523,..,..,1.4600000381,..,..,..,..,..,..,1.1000000238,1.2,..,1,1,..,..,1.48,1.45,1.48,1.54,1.59,1.61,1.68,1.7,1.71,..,..,..,..
"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,"Egypt, Arab Rep.",EGY,2.0708999634,2.0241999626,2.0004000664,1.9292999506,..,..,2.0999999046,2.0999999046,..,..,2.1,2.1,2.1,2.17,2.17,2.2,2.2,2.1,2.08,1.73,1.73,..,..,..,1.56,1.56,1.43,1.43,..,..,..,..,..
"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,Ethiopia,ETH,0.2415000051,..,..,..,..,..,..,..,..,..,..,..,..,..,0.2,..,0.2,..,0.2,..,..,6.3,..,..,..,0.3,0.33,..,..,..,..,..,..
"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,Germany,DEU,10.3999996185,10.1000003815,9.8999996185,9.6999998093,9.6999998093,9.6999998093,9.6000003815,9.3999996185,9.3000001907,9.1999998093,9.12,9.01,8.87,8.74,8.58,8.47,8.3,8.24,8.21,8.24,8.25,8.38,8.34,8.28,8.23,8.13,8.06,8,..,..,..,..,..
"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,India,IND,..,0.7870000005,..,..,..,..,..,..,..,..,0.65,0.64,0.63,0.8999999762,..,0.41,0.42,0.41,0.41,0.44,0.47,0.63,0.49,0.49,0.52,0.58,0.48,0.53,..,..,..,..,..
"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,Indonesia,IDN,0.665199995,0.6686000228,0.6650000215,0.6575999856,0.6600999832,..,..,..,0.6,..,..,..,0.6,..,..,..,..,..,..,0.59,0.57,0.62,0.83,0.99,0.94,0.98,0.99,1.04,..,..,..,..,..
"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,"Iran, Islamic Rep.",IRN,1.4330999851,..,..,..,..,..,1.6000000238,..,..,..,1.59,1.59,1.63,1.63,1.63,1.72,1.72,1.72,1.38,1.38,1.74,1.74,1.5,1.5,1.5,1.5,1.7,1.56,..,..,..,..,..
"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,Iraq,IRQ,1.6596000195,..,..,..,..,..,..,..,1.4500000477,..,1.2,1.3,1.27,1.31,1.33,1.3,1.3,1.33,1.26,1.27,1.3,1.3,1.3,1.3,1.38,1.38,1.3,1.32,..,..,..,..,..
"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,Italy,ITA,7.1999998093,6.8000001907,6.9000000954,6.6999998093,6.5999999046,6.3000001907,6.5,5.9000000954,5.5,4.9000000954,4.71,4.61,4.44,4.18,4.02,4.04,3.99,3.91,3.79,3.69,3.64,3.52,3.42,3.31,3.21,3.2,3.17,3.18,3.14,..,..,..,..
"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,Japan,JPN,..,..,..,15.6000003815,15.5,15.3999996185,15.1999998093,15.1000003815,15,14.8000001907,14.69,14.58,14.43,14.26,14.2,14.08,13.97,13.87,13.71,13.62,13.51,13.4,13.35,13.3,13.21,13.17,13.11,13.05,12.98,..,..,..,..
"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,Kenya,KEN,1.6471999884,..,..,..,..,..,..,..,..,..,..,..,1.9,..,1.4,..,1.4,..,..,..,1.4,..,..,..,..,..,..,..,..,..,..,..,..
