Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Germany,DEU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Argentina,ARG,..,96.0407180786133,..,..,..,..,..,..,..,..,..,97.1933135986328,..,..,..,..,98.6108016967773,..,..,98.9834213256836,98.9549713134766,99.1083297729492,99.1052322387695,99.1219482421875,98.9938888549805,99.1799621582031,99.1250076293945,..,99.0038681030273,..,..,..,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Australia,AUS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Canada,CAN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,31.4488506317139,..,..,..,..,..,..,..,..,..,37.266040802002,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Albania,ALB,..,..,..,..,..,..,..,..,..,..,..,98.7129821777344,..,..,..,..,..,..,95.9386367797852,..,..,96.8452987670898,97.2469711303711,..,..,..,..,..,98.1411514282227,..,..,98.4499969482422,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Bangladesh,BGD,..,35.3193016052246,..,..,..,..,..,..,..,..,..,47.4855003356934,..,..,..,..,..,46.6636009216309,..,..,..,58.7691802978516,57.8607482910156,61.0155410766602,61.0932998657227,65.1373291015625,72.7587203979492,72.8929672241211,73.9122009277344,74.6844635009766,74.9088973999023,..,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Brazil,BRA,..,..,..,..,..,..,..,..,..,..,86.3678817749023,..,..,..,88.6162414550781,..,89.6152267456055,90.0093688964844,90.03662109375,90.298210144043,90.3791809082031,91.4112396240234,91.3378524780273,91.4842376708984,91.7294311523438,92.0478973388672,92.8084411621094,93.0758209228516,93.2275009155273,..,..,94.3000030517578,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Colombia,COL,..,..,..,91.0630874633789,..,..,91.207160949707,..,..,..,..,..,..,..,92.8037796020508,92.8486633300781,92.2996826171875,92.6517868041992,93.3781814575195,93.2446899414063,93.3723297119141,93.5805282592773,..,..,94.1862487792969,94.2450485229492,94.6538467407227,..,95.0925064086914,95.249267578125,95.6363296508789,..,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,"Egypt, Arab Rep.",EGY,..,..,..,..,..,..,55.5870018005371,..,..,..,..,..,..,..,..,67.3318710327148,66.3699111938477,..,..,..,72.0478515625,..,73.865592956543,72.442497253418,..,..,..,71.1682510375977,..,..,..,73.0899963378906,..
