Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
"Mortality caused by road traffic injury (per 100,000 population)",SH.STA.TRAF.P5,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,14.7,15.1,14.9,15,15.2,15.2,15.1,15,15,14.4,14.4,14.2,13.8,14,14.1,14.4,14.8,15.1,14.2,15.9,..,..,..
"Mortality caused by road traffic injury (per 100,000 population)",SH.STA.TRAF.P5,Albania,ALB,..,..,..,..,..,..,..,..,..,..,14.3,14.5,14.5,14.7,14.7,14.9,14.9,14.8,14.5,14.4,14.1,14.3,13.8,13.9,13.6,13.8,13.8,11.4,11,11.7,..,..,..
"Mortality caused by road traffic injury (per 100,000 population)",SH.STA.TRAF.P5,Australia,AUS,..,..,..,..,..,..,..,..,..,..,9.9,9.3,9.1,8.5,8.2,8.3,8,7.9,7.1,7.1,6.5,5.9,5.8,5.3,5.4,5.2,5.6,5.2,4.8,4.9,..,..,..
"Mortality caused by road traffic injury (per 100,000 population)",SH.STA.TRAF.P5,Argentina,ARG,..,..,..,..,..,..,..,..,..,..,11.5,11.6,9.8,9.4,10.6,11.6,13.1,14.1,14.8,13.3,12.8,13.9,13.1,14.3,13.4,13.9,14.1,14,13.6,14.1,..,..,..
"Mortality caused by road traffic injury (per 100,000 population)",SH.STA.TRAF.P5,Bangladesh,BGD,..,..,..,..,..,..,..,..,..,..,10.8,12,13.5,14.9,16.4,17.6,17.6,16.9,16.9,16.9,16.9,16.8,15.9,15.9,15.9,15.8,15.8,15.6,15.5,15.3,..,..,..
"Mortality caused by road traffic injury (per 100,000 population)",SH.STA.TRAF.P5,Brazil,BRA,..,..,..,..,..,..,..,..,..,..,19.7,20.1,21.2,21,22.2,22.4,21.8,22.5,22.6,22.2,24.3,24.5,24.8,23.1,23.6,20.8,19.9,18.7,17.1,16,..,..,..
"Mortality caused by road traffic injury (per 100,000 population)",SH.STA.TRAF.P5,Canada,CAN,..,..,..,..,..,..,..,..,..,..,9.8,9.2,9.7,9.1,8.9,9.5,9.1,8.9,8,7.2,7.3,6.3,6.7,6.3,5.8,5.8,5.8,5.6,5.4,5.3,..,..,..
"Mortality caused by road traffic injury (per 100,000 population)",SH.STA.TRAF.P5,Colombia,COL,..,..,..,..,..,..,..,..,..,..,20,20,19,17.2,17.5,16.9,17.4,17.9,18,17.7,16.2,15.8,16.7,16.7,16.9,18,18.6,17.2,16.3,15.4,..,..,..
"Mortality caused by road traffic injury (per 100,000 population)",SH.STA.TRAF.P5,"Egypt, Arab Rep.",EGY,..,..,..,..,..,..,..,..,..,..,11.2,10.7,11.5,12.3,10.7,10.8,11.1,12.8,13.2,12.9,13.7,13,10.2,10.5,12.3,11.7,9.8,10.6,10.3,10.1,..,..,..
"Mortality caused by road traffic injury (per 100,000 population)",SH.STA.TRAF.P5,Ethiopia,ETH,..,..,..,..,..,..,..,..,..,..,24.6,24.5,24.7,25.1,24.8,24.5,23.9,23.5,23.4,23.5,23.3,26,26.2,25.8,25.8,26,26.4,27,27.6,28.2,..,..,..
"Mortality caused by road traffic injury (per 100,000 population)",SH.STA.TRAF.P5,Germany,DEU,..,..,..,..,..,..,..,..,..,..,9.6,8.9,8.8,8.4,7.5,6.9,6.6,6.4,5.8,5.3,4.8,5.3,4.7,4.4,4.3,4.4,4,4,4.1,3.8,..,..,..
"Mortality caused by road traffic injury (per 100,000 population)",SH.STA.TRAF.P5,India,IND,..,..,..,..,..,..,..,..,..,..,16.9,16.6,16.3,15.8,15.6,15.9,16.3,16.7,17.1,17,17.2,17.4,17.6,17,16.1,15.6,15.3,15.2,15.5,15.6,..,..,..
"Mortality caused by road traffic injury (per 100,000 population)",SH.STA.TRAF.P5,Indonesia,IDN,..,..,..,..,..,..,..,..,..,..,14.5,14.6,14.8,14.5,14.4,14.3,14.2,13.7,13.5,13.9,13.7,13.8,13,12.9,12.7,12.3,12.1,11.8,11.6,11.3,..,..,..
"Mortality caused by road traffic injury (per 100,000 population)",SH.STA.TRAF.P5,"Iran, Islamic Rep.",IRN,..,..,..,..,..,..,..,..,..,..,26.8,30.6,33.5,38.9,39,41,40.3,33.1,33.4,32.5,32.5,27.7,26.1,24.3,22.5,21.8,20.6,20.7,21.7,21.5,..,..,..
"Mortality caused by road traffic injury (per 100,000 population)",SH.STA.TRAF.P5,Iraq,IRQ,..,..,..,..,..,..,..,..,..,..,20.7,20.6,20.9,22,21.1,19.3,19.6,20.2,21.1,21,20.9,18.5,18.8,18,20.5,20.5,20.4,20.4,27.1,27.3,..,..,..
"Mortality caused by road traffic injury (per 100,000 population)",SH.STA.TRAF.P5,Italy,ITA,..,..,..,..,..,..,..,..,..,..,13.9,13.9,13.3,11.8,10.9,10.3,10.3,9.7,8.9,8,7.3,7.2,6.5,5.8,5.8,5.9,5.5,5.7,5.6,5.3,..,..,..
"Mortality caused by road traffic injury (per 100,000 population)",SH.STA.TRAF.P5,Japan,JPN,..,..,..,..,..,..,..,..,..,..,12.5,12.1,11.3,10.6,10.1,9.4,8.6,6.2,5.5,5.4,5.3,5,4.8,4.5,4.2,4.2,4.1,3.9,3.7,3.6,..,..,..
"Mortality caused by road traffic injury (per 100,000 population)",SH.STA.TRAF.P5,Kenya,KEN,..,..,..,..,..,..,..,..,..,..,26.4,26.5,26.5,26.2,25.9,26.3,25.8,25.8,25.9,26.1,25.7,25.7,26.6,26.4,26.6,27.3,27.4,27.7,28,28.3,..,..,..
"Mortality caused by road traffic injury (per 100,000 population)",SH.STA.TRAF.P5,Mexico,MEX,..,..,..,..,..,..,..,..,..,..,14.2,14,14.4,15,15,15.6,15.6,14.1,15.4,15.8,14.5,14.4,14.6,13.3,13.3,13.6,13.6,13.1,13,12.8,..,..,..
"Mortality caused by road traffic injury (per 100,000 population)",SH.STA.TRAF.P5,Morocco,MAR,..,..,..,..,..,..,..,..,..,..,23.9,23.8,24,24.1,23.8,24,23.9,23.8,23.7,23.7,23.4,20.9,20.3,20.1,19.8,19.7,19.7,19.1,17.7,17,..,..,..
"Mortality caused by road traffic injury (per 100,000 population)",SH.STA.TRAF.P5,Peru,PER,..,..,..,..,..,..,..,..,..,..,15.8,16,14.5,14,15.4,15.9,16.6,16.6,16.4,15.1,13.2,16.2,14.6,14,13.6,13.9,13.9,13.8,13.7,13.6,..,..,..
"Mortality caused by road traffic injury (per 100,000 population)",SH.STA.TRAF.P5,Philippines,PHL,..,..,..,..,..,..,..,..,..,..,9.8,9.7,10.2,10.1,10.1,10.1,9.8,10.6,10,10.6,11.5,10.5,10.8,10.6,10.9,12.5,12.2,11.8,11.9,12,..,..,..
"Mortality caused by road traffic injury (per 100,000 population)",SH.STA.TRAF.P5,Russian Federation,RUS,..,..,..,..,..,..,..,..,..,..,27.9,28.8,29.6,31,29.9,28.8,27.5,28.2,25.5,21.7,20.5,21.1,21.4,20.7,20.3,17.5,14.4,13.5,12.9,12,..,..,..
"Mortality caused by road traffic injury (per 100,000 population)",SH.STA.TRAF.P5,South Africa,ZAF,..,..,..,..,..,..,..,..,..,..,44,38.3,39.9,43.4,41.3,38.1,41.1,32.4,29.5,28.6,28.6,27.8,26.5,22.8,24,24.1,25.8,23.2,22.7,22.2,..,..,..
"Mortality caused by road traffic injury (per 100,000 population)",SH.STA.TRAF.P5,Spain,ESP,..,..,..,..,..,..,..,..,..,..,15.4,14.4,13.6,13.4,11.7,10.6,9.6,8.7,6.9,6,5.4,4.7,4.3,4,4.2,4.2,4.1,4.2,4.1,3.9,..,..,..
"Mortality caused by road traffic injury (per 100,000 population)",SH.STA.TRAF.P5,Sweden,SWE,..,..,..,..,..,..,..,..,..,..,6.7,7,6.3,6,5.6,5.3,5.3,5.3,4.8,4.1,3,3.4,3.5,3.1,3.2,3.2,3.1,2.7,3.6,3.1,..,..,..
"Mortality caused by road traffic injury (per 100,000 population)",SH.STA.TRAF.P5,Thailand,THA,..,..,..,..,..,..,..,..,..,..,39,39.3,39.2,38.8,38.9,38.9,38.7,38.9,38.9,38.7,38.3,38.2,36.3,36,32.6,32.8,32.5,35.1,32.3,32.2,..,..,..
"Mortality caused by road traffic injury (per 100,000 population)",SH.STA.TRAF.P5,United Kingdom,GBR,..,..,..,..,..,..,..,..,..,..,6.9,7,7.1,7.2,6.9,6.6,6.6,5.8,5.2,4.3,3.7,3.4,3,2.9,3.2,2.9,3,3,3,3.2,..,..,..
"Mortality caused by road traffic injury (per 100,000 population)",SH.STA.TRAF.P5,United States,USA,..,..,..,..,..,..,..,..,..,..,15.7,15.7,16.2,16,15.8,15.7,15.6,14.9,13.4,12.1,11.7,11.6,11.9,11.4,11.3,12.1,12.9,12.8,12.6,12.7,..,..,..
"Mortality caused by road traffic injury (per 100,000 population)",SH.STA.TRAF.P5,Vietnam,VNM,..,..,..,..,..,..,..,..,..,..,24.1,24.2,24.3,24.2,24.9,24.6,24.5,24.3,24.8,24.6,25.6,25.3,25.4,25,24.7,25.4,26.7,27.8,29.2,30.6,..,..,..
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 05/10/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
