Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,10.92753113,10.93879204,11.72537263,12.5121213,13.3059954,14.10727456,14.90905233,16.09387809,17.32239903,18.26376481,19.11514598,19.96687464,20.81883173,21.67101839,22.52343729,23.37620582,24.22920784,25.08389212,25.94051208,26.79895584,27.58895624,..,..
People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,Albania,ALB,..,..,..,..,..,..,..,..,..,..,49.13832074,49.0811986,48.98476504,48.88544453,50.71767849,52.57833406,54.46708104,56.38384125,58.32847968,60.30090739,62.30062916,64.32740144,66.38085219,68.45983191,70.56325981,70.59197092,70.61650808,70.63694219,70.65335019,70.66585365,70.67453739,..,..
People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,Australia,AUS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,Argentina,ARG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,Bangladesh,BGD,..,..,..,..,..,..,..,..,..,..,55.26806616,55.27115966,55.24644393,55.21810077,55.18626868,55.15126174,55.11252136,55.07018233,55.02438402,54.97528262,54.92247685,54.86629665,55.20873295,55.56673972,55.9399014,56.32891798,56.73353706,57.15407412,57.59065733,58.04326337,58.51187913,..,..
People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,Brazil,BRA,..,..,..,..,..,..,..,..,..,..,75.99606802,76.56129687,77.04836801,77.32908456,77.60419859,77.87380706,78.1382912,78.39773752,78.65221598,78.90124496,79.14548167,79.38738202,79.62451905,80.41174261,81.19584995,81.97630358,82.69040002,83.52582053,84.2947419,85.06008273,85.76566655,..,..
People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,Canada,CAN,..,..,..,..,..,..,..,..,..,..,98.16674099,98.17581078,98.17794617,98.1801028,98.18224134,98.24079534,98.29946776,98.35997369,98.41990954,98.47926264,98.53806358,98.59599042,98.65168006,98.70725106,98.76270793,98.81806216,98.87330686,98.92850562,98.98362633,99.03861451,99.03894727,..,..
People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,Colombia,COL,..,..,..,..,..,..,..,..,..,..,68.81058488,69.16243521,69.51044458,69.85462994,70.19455987,70.5302658,70.8617815,71.06397687,71.26051971,71.4514642,71.63641566,71.81544321,71.98906116,72.15687944,72.31897619,72.47583227,72.62751108,72.74865169,72.88915478,72.95185947,73.00935643,..,..
People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,"Egypt, Arab Rep.",EGY,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,Ethiopia,ETH,..,..,..,..,..,..,..,..,..,..,4.975609066,5.362436475,5.535455912,5.726244486,5.935043365,6.161740563,6.406574901,6.674751772,7.022537739,7.389051059,7.775105666,8.179737392,8.603385458,9.039095602,9.492952501,9.964319063,10.45325267,10.95876046,11.48156823,12.02134693,12.57741919,..,..
People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,Germany,DEU,..,..,..,..,..,..,..,..,..,..,99.82377818,99.82377579,99.82377579,99.82377579,99.83506134,99.84634449,99.85762525,99.8689132,99.88019395,99.89147711,99.90276026,99.91404342,99.92532657,99.93661213,99.94789288,99.95917842,99.97045681,99.98173998,99.99302315,99.9930255,99.99302783,..,..
People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,India,IND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,Indonesia,IDN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,Iraq,IRQ,..,..,..,..,..,..,..,..,..,..,50.24093663,50.71764911,51.1934993,51.66849928,52.14264174,52.61592058,53.08807075,53.55965231,54.03037162,54.49998343,54.98614398,55.48045102,55.97190633,56.46053883,56.94658451,57.4300481,57.91293299,58.39519541,58.87657478,59.35663,59.66446001,..,..
People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,"Iran, Islamic Rep.",IRN,..,..,..,..,..,..,..,..,..,..,90.31920196,90.55172319,90.77938245,91.00224311,91.22022242,91.43323292,91.64135164,91.83859225,92.02850095,92.2142408,92.3959797,92.57365997,92.74599173,92.91357349,93.07759795,93.23789351,93.39462372,93.54765027,93.69683569,93.84218326,93.98386362,..,..
People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,Italy,ITA,..,..,..,..,..,..,..,..,..,..,94.76837962,94.98710866,95.20593802,95.42486769,95.64389767,95.86302797,96.08225858,96.08733016,96.05755566,96.02775304,95.9979223,95.96806345,95.93817649,95.9082614,95.8783182,95.82368779,95.82368779,95.82368779,95.82368779,95.82368779,95.82368779,..,..
