Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,4.9,5,5,5,5,5,4.9,4.8,4.6,4.4,4.3,4.1,4,4,3.9,4,4,4.1,4.1,4.1,..,..,..
"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,Albania,ALB,..,..,..,..,..,..,..,..,..,..,4.9,4.5,4.6,4.8,4.8,7.5,7.8,8.1,8.2,8.1,7.8,7.9,5.2,5.3,5,4.8,4.7,4.7,4.5,4.3,..,..,..
"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,Argentina,ARG,..,..,..,..,..,..,..,..,..,..,9.1,10.3,10.2,9.7,8.7,8.6,8.6,8.3,8.7,8.4,8.6,8.5,9.1,8.6,9.3,8.3,8.3,8.9,9.2,8.4,..,..,..
"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,Australia,AUS,..,..,..,..,..,..,..,..,..,..,12.7,12.2,11.3,10.5,10.3,11.2,10.6,10.9,11.6,11.2,11.7,11.2,11.7,11.5,12.7,13.2,12.2,13.1,12.4,12.5,..,..,..
"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,Bangladesh,BGD,..,..,..,..,..,..,..,..,..,..,6,5.7,5.3,5.1,4.9,4.9,5,4.9,4.7,4.6,4.4,4,3.7,3.5,3.5,3.4,3.4,3.5,3.6,3.7,..,..,..
"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,Brazil,BRA,..,..,..,..,..,..,..,..,..,..,4,4.4,4.4,4.3,4.4,4.7,4.7,4.9,5.1,5.1,5,5.2,5.4,5.6,5.6,5.9,6,6.6,7,6.9,..,..,..
"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,Canada,CAN,..,..,..,..,..,..,..,..,..,..,11.9,12.2,11.9,12.4,11.7,12.2,11.2,11.5,11.5,12,12.1,11.3,11.8,12.1,12.7,13,11.9,13,12,11.8,..,..,..
"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,Colombia,COL,..,..,..,..,..,..,..,..,..,..,5,4.9,4.7,4.6,4.5,4.1,4.1,4.1,4.2,4.1,3.8,3.7,3.8,3.7,3.8,4.1,4.2,4.7,4,3.9,..,..,..
"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,"Egypt, Arab Rep.",EGY,..,..,..,..,..,..,..,..,..,..,3.1,3.2,3.2,3.2,3.1,3.1,3.1,3.1,3.1,3.1,3.2,3.3,3.4,3.4,3.3,3.3,3.2,3,3,3,..,..,..
"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,Ethiopia,ETH,..,..,..,..,..,..,..,..,..,..,9.7,9.3,8.9,8.6,8.3,8.1,7.8,7.7,7.6,7.4,7.1,6.7,6.1,5.7,5.5,5.5,5.5,5.4,5.4,5.4,..,..,..
"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,Germany,DEU,..,..,..,..,..,..,..,..,..,..,14.5,14.5,14.6,14.4,14,13.3,12.8,12.4,12.5,12.8,13.2,13.2,12.9,13.4,13.4,13.3,13,12.6,12.9,12.3,..,..,..
"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,India,IND,..,..,..,..,..,..,..,..,..,..,17,16.6,16.1,15.3,15.2,15.5,15.6,15.3,15.1,14.5,14.6,14.7,14.3,13.7,12.8,12.3,12.1,12,12.6,12.7,..,..,..
"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,"Iran, Islamic Rep.",IRN,..,..,..,..,..,..,..,..,..,..,8,7.8,7.5,7,6.7,6.3,6,6.4,6.2,6.2,6.3,6.8,6.7,6.6,6.5,6.3,6.2,6,5.7,5.2,..,..,..
"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,Indonesia,IDN,..,..,..,..,..,..,..,..,..,..,3.5,3.4,3.3,3.2,3.2,3,2.9,2.9,2.8,2.7,2.6,2.6,2.5,2.5,2.4,2.4,2.4,2.4,2.4,2.4,..,..,..
"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,Iraq,IRQ,..,..,..,..,..,..,..,..,..,..,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.7,3.6,3.7,3.9,4.1,4.1,4.2,4.1,4.1,4,3.9,3.7,3.6,..,..,..
"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,Italy,ITA,..,..,..,..,..,..,..,..,..,..,7.5,7.3,7.4,7.4,7.2,6.7,6.7,6.7,6.9,7,6.9,7.4,7.6,7.5,7.2,7.1,6.6,7.1,6.7,6.7,..,..,..
"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,Japan,JPN,..,..,..,..,..,..,..,..,..,..,23.9,23.2,23.8,25.6,24.1,24.3,23.9,25,24.4,24.9,24.1,23.4,21.6,21.4,20.1,19.1,17.5,17,16.7,15.3,..,..,..
"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,Kenya,KEN,..,..,..,..,..,..,..,..,..,..,7.6,6.9,6.4,6.1,5.7,6,6,6.3,6.2,6,6,5.9,5.9,5.9,5.7,5.5,5.4,5.6,6,6.1,..,..,..
"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,Mexico,MEX,..,..,..,..,..,..,..,..,..,..,3.5,3.8,3.9,4,4,4.1,4,4.1,4.4,4.6,4.5,5.2,4.9,5.2,5.7,5.6,5.6,5.9,5.4,5.3,..,..,..
"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,Morocco,MAR,..,..,..,..,..,..,..,..,..,..,9.9,9.9,9.6,9.6,9.5,9.4,9.3,9.3,9.3,9.2,9.2,9.2,8.9,8,7.7,7.4,7.2,7.1,7.2,7.2,..,..,..
"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,Peru,PER,..,..,..,..,..,..,..,..,..,..,3.1,2.9,2.9,3,2.8,2.7,2.7,2.6,2.7,3.3,3.5,3.3,3.2,3.1,2.9,2.7,2.6,2.7,2.8,2.8,..,..,..
"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,Philippines,PHL,..,..,..,..,..,..,..,..,..,..,1.8,1.5,1.7,1.8,1.8,1.9,2,1.9,2,2.3,2.4,2.7,2.4,2.4,2.3,2.3,2.2,2.2,2.2,2.2,..,..,..
"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,Russian Federation,RUS,..,..,..,..,..,..,..,..,..,..,53.8,52.4,52,51.6,50.1,49.8,44.8,41.7,40.7,38.4,38.1,35.9,34.4,33.5,33.8,32,31,28.2,27.1,25.1,..,..,..
"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,South Africa,ZAF,..,..,..,..,..,..,..,..,..,..,22.4,23,24.3,25.1,24.6,24.4,23.6,24.6,26.7,26.7,24.6,22.4,22.9,23.7,24.1,24.5,24.4,25.2,24.1,23.5,..,..,..
"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,Spain,ESP,..,..,..,..,..,..,..,..,..,..,8.6,8,8.3,8.5,8.5,8,7.5,7.4,7.8,7.6,6.9,7.1,7.7,8.5,8.6,7.9,7.8,8.2,7.8,7.7,..,..,..
"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,Sweden,SWE,..,..,..,..,..,..,..,..,..,..,15.1,16,15.5,14.4,14.8,15.7,15,14.5,15,15.7,14.7,14.2,15,15.9,14.8,15.7,14.6,15,14.9,14.7,..,..,..
"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,Thailand,THA,..,..,..,..,..,..,..,..,..,..,12,10.9,11,10.7,10.5,9.1,8.9,8.4,8.1,8,8.1,8,7.9,7.5,7.8,8,8.5,8.4,8.8,8.8,..,..,..
"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,United Kingdom,GBR,..,..,..,..,..,..,..,..,..,..,8.6,8.3,8.3,7.9,8.2,7.9,7.8,7.6,8.1,8,7.8,8.3,8.2,8.8,8.6,8.8,8.5,8.2,8.1,7.9,..,..,..
"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,United States,USA,..,..,..,..,..,..,..,..,..,..,11,11.4,11.8,11.7,11.9,11.9,12.1,12.4,12.7,12.8,13.1,13.4,13.5,13.5,14,14.4,15.1,15.9,15.7,16.1,..,..,..
"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,Vietnam,VNM,..,..,..,..,..,..,..,..,..,..,6.1,6.1,6.1,6.1,6.3,6.3,6.4,6.7,6.9,6.9,7,7.2,7.4,7.5,7.6,7.7,7.7,7.7,7.6,7.5,..,..,..
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 05/10/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
