"GHO","PUBLISHSTATE","YEAR","WORLDBANKINCOMEGROUP","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"WHS4_117","PUBLISHED","2000","WB_HI","60","60.00000","","","","",""
"WHS4_117","PUBLISHED","2000","WB_LI","3","3.00000","","","","",""
"WHS4_117","PUBLISHED","2000","WB_LMI","12","12.00000","","","","",""
"WHS4_117","PUBLISHED","2000","WB_UMI","63","63.00000","","","","",""
"WHS4_117","PUBLISHED","2001","WB_HI","63","63.00000","","","","",""
"WHS4_117","PUBLISHED","2001","WB_LI","5","5.00000","","","","",""
"WHS4_117","PUBLISHED","2001","WB_LMI","13","13.00000","","","","",""
"WHS4_117","PUBLISHED","2001","WB_UMI","68","68.00000","","","","",""
"WHS4_117","PUBLISHED","2002","WB_HI","64","64.00000","","","","",""
"WHS4_117","PUBLISHED","2002","WB_LI","16","16.00000","","","","",""
"WHS4_117","PUBLISHED","2002","WB_LMI","19","19.00000","","","","",""
"WHS4_117","PUBLISHED","2002","WB_UMI","73","73.00000","","","","",""
"WHS4_117","PUBLISHED","2003","WB_HI","66","66.00000","","","","",""
"WHS4_117","PUBLISHED","2003","WB_LI","21","21.00000","","","","",""
"WHS4_117","PUBLISHED","2003","WB_LMI","28","28.00000","","","","",""
"WHS4_117","PUBLISHED","2003","WB_UMI","79","79.00000","","","","",""
"WHS4_117","PUBLISHED","2004","WB_HI","67","67.00000","","","","",""
"WHS4_117","PUBLISHED","2004","WB_LI","26","26.00000","","","","",""
"WHS4_117","PUBLISHED","2004","WB_LMI","33","33.00000","","","","",""
"WHS4_117","PUBLISHED","2004","WB_UMI","83","83.00000","","","","",""
"WHS4_117","PUBLISHED","2005","WB_HI","68","68.00000","","","","",""
"WHS4_117","PUBLISHED","2005","WB_LI","32","32.00000","","","","",""
"WHS4_117","PUBLISHED","2005","WB_LMI","40","40.00000","","","","",""
"WHS4_117","PUBLISHED","2005","WB_UMI","87","87.00000","","","","",""
"WHS4_117","PUBLISHED","2006","WB_HI","70","70.00000","","","","",""
"WHS4_117","PUBLISHED","2006","WB_LI","38","38.00000","","","","",""
"WHS4_117","PUBLISHED","2006","WB_LMI","44","44.00000","","","","",""
"WHS4_117","PUBLISHED","2006","WB_UMI","91","91.00000","","","","",""
"WHS4_117","PUBLISHED","2007","WB_HI","70","70.00000","","","","",""
"WHS4_117","PUBLISHED","2007","WB_LI","62","62.00000","","","","",""
"WHS4_117","PUBLISHED","2007","WB_LMI","48","48.00000","","","","",""
"WHS4_117","PUBLISHED","2007","WB_UMI","92","92.00000","","","","",""
"WHS4_117","PUBLISHED","2008","WB_HI","71","71.00000","","","","",""
"WHS4_117","PUBLISHED","2008","WB_LI","65","65.00000","","","","",""
"WHS4_117","PUBLISHED","2008","WB_LMI","57","57.00000","","","","",""
"WHS4_117","PUBLISHED","2008","WB_UMI","93","93.00000","","","","",""
"WHS4_117","PUBLISHED","2009","WB_HI","71","71.00000","","","","",""
"WHS4_117","PUBLISHED","2009","WB_LI","70","70.00000","","","","",""
"WHS4_117","PUBLISHED","2009","WB_LMI","63","63.00000","","","","",""
"WHS4_117","PUBLISHED","2009","WB_UMI","96","96.00000","","","","",""
"WHS4_117","PUBLISHED","2010","WB_HI","72","72.00000","","","","",""
"WHS4_117","PUBLISHED","2010","WB_LI","70","70.00000","","","","",""
"WHS4_117","PUBLISHED","2010","WB_LMI","62","62.00000","","","","",""
"WHS4_117","PUBLISHED","2010","WB_UMI","95","95.00000","","","","",""
"WHS4_117","PUBLISHED","2011","WB_HI","74","74.00000","","","","",""
"WHS4_117","PUBLISHED","2011","WB_LI","71","71.00000","","","","",""
"WHS4_117","PUBLISHED","2011","WB_LMI","64","64.00000","","","","",""
"WHS4_117","PUBLISHED","2011","WB_UMI","96","96.00000","","","","",""
"WHS4_117","PUBLISHED","2012","WB_HI","74","74.00000","","","","",""
"WHS4_117","PUBLISHED","2012","WB_LI","70","70.00000","","","","",""
"WHS4_117","PUBLISHED","2012","WB_LMI","76","76.00000","","","","",""
"WHS4_117","PUBLISHED","2012","WB_UMI","95","95.00000","","","","",""
"WHS4_117","PUBLISHED","2013","WB_HI","74","74.00000","","","","",""
"WHS4_117","PUBLISHED","2013","WB_LI","71","71.00000","","","","",""
"WHS4_117","PUBLISHED","2013","WB_LMI","75","75.00000","","","","",""
"WHS4_117","PUBLISHED","2013","WB_UMI","95","95.00000","","","","",""
"WHS4_117","PUBLISHED","2014","WB_HI","76","76.00000","","","","",""
"WHS4_117","PUBLISHED","2014","WB_LI","72","72.00000","","","","",""
"WHS4_117","PUBLISHED","2014","WB_LMI","79","79.00000","","","","",""
"WHS4_117","PUBLISHED","2014","WB_UMI","95","95.00000","","","","",""
"WHS4_117","PUBLISHED","2015","WB_HI","76","76.00000","","","","",""
