"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"GHED_CHE_pc_US_SHA2011","PUBLISHED","2002","EMR","AFG","17.01","17.01000","","","","",""
"GHED_CHE_pc_US_SHA2011","PUBLISHED","2003","EMR","AFG","17.81","17.81000","","","","",""
"GHED_CHE_pc_US_SHA2011","PUBLISHED","2004","EMR","AFG","21.43","21.43000","","","","",""
"GHED_CHE_pc_US_SHA2011","PUBLISHED","2005","EMR","AFG","25.11","25.11000","","","","",""
"GHED_CHE_pc_US_SHA2011","PUBLISHED","2006","EMR","AFG","28.92","28.92000","","","","",""
"GHED_CHE_pc_US_SHA2011","PUBLISHED","2007","EMR","AFG","32.72","32.72000","","","","",""
"GHED_CHE_pc_US_SHA2011","PUBLISHED","2008","EMR","AFG","39.97","39.97000","","","","",""
"GHED_CHE_pc_US_SHA2011","PUBLISHED","2009","EMR","AFG","43.26","43.26000","","","","",""
"GHED_CHE_pc_US_SHA2011","PUBLISHED","2010","EMR","AFG","46.58","46.58000","","","","",""
"GHED_CHE_pc_US_SHA2011","PUBLISHED","2011","EMR","AFG","52.36","52.36000","","","","",""
"GHED_CHE_pc_US_SHA2011","PUBLISHED","2012","EMR","AFG","52.61","52.61000","","","","",""
"GHED_CHE_pc_US_SHA2011","PUBLISHED","2013","EMR","AFG","56.31","56.31000","","","","",""
"GHED_CHE_pc_US_SHA2011","PUBLISHED","2014","EMR","AFG","60.19","60.19000","","","","",""
"GHED_CHE_pc_US_SHA2011","PUBLISHED","2015","EMR","AFG","60.06","60.06000","","","","",""
"GHED_CHE_pc_US_SHA2011","PUBLISHED","2016","EMR","AFG","61.49","61.49000","","","","",""
"GHED_CHE_pc_US_SHA2011","PUBLISHED","2017","EMR","AFG","66.91","66.91000","","","","",""
"GHED_CHE_pc_US_SHA2011","PUBLISHED","2018","EMR","AFG","71.33","71.33000","","","","",""
"GHED_CHE_pc_US_SHA2011","PUBLISHED","2019","EMR","AFG","74.23","74.23000","","","","",""
"GHED_CHE_pc_US_SHA2011","PUBLISHED","2020","EMR","AFG","80.29","80.29000","","","","",""
"GHED_CHE_pc_US_SHA2011","PUBLISHED","2000","EUR","ALB","65.15","65.15000","","","","",""
"GHED_CHE_pc_US_SHA2011","PUBLISHED","2001","EUR","ALB","73.79","73.79000","","","","",""
"GHED_CHE_pc_US_SHA2011","PUBLISHED","2002","EUR","ALB","78.99","78.99000","","","","",""
"GHED_CHE_pc_US_SHA2011","PUBLISHED","2003","EUR","ALB","111.46","111.46000","","","","",""
"GHED_CHE_pc_US_SHA2011","PUBLISHED","2004","EUR","ALB","141.91","141.91000","","","","",""
"GHED_CHE_pc_US_SHA2011","PUBLISHED","2005","EUR","ALB","154.88","154.88000","","","","",""
"GHED_CHE_pc_US_SHA2011","PUBLISHED","2006","EUR","ALB","168.42","168.42000","","","","",""
"GHED_CHE_pc_US_SHA2011","PUBLISHED","2007","EUR","ALB","204.80","204.80000","","","","",""
