,"Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$"
"Countries, territories and areas","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000"
"Afghanistan","80.29","74.23","71.33","66.91","61.49","60.06","60.19","56.31","52.61","52.36","46.58","43.26","39.97","32.72","28.92","25.11","21.43","17.81","17.01","",""
"Albania","","","350.83","296.00","274.44","256.13","295.45","277.58","259.53","271.96","255.41","235.40","240.44","204.80","168.42","154.88","141.91","111.46","78.99","73.79","65.15"
"Algeria","214.85","250.56","257.85","259.65","262.13","292.92","361.16","333.16","336.67","288.31","230.06","208.94","207.85","151.78","117.43","101.30","93.02","76.24","66.95","67.34","62.12"
"Andorra","3336.92","3061.79","3188.00","2910.02","2796.62","2729.94","3113.92","3056.73","3029.51","3956.99","3796.65","3024.99","3046.02","2489.11","2139.00","2214.39","1989.83","1772.51","1486.01","1336.06","1286.86"
"Angola","50.74","69.38","83.90","112.85","94.11","107.64","130.74","142.89","121.80","121.91","96.66","120.03","135.63","92.84","69.77","54.21","49.78","34.87","29.05","28.93","13.00"
"Antigua and Barbuda","830.34","801.54","849.83","785.47","812.51","784.65","822.39","735.49","749.94","714.00","720.92","606.90","691.21","711.56","662.72","639.24","596.07","612.15","557.90","571.11","519.13"
"Argentina","863.71","958.52","1122.47","1525.59","1149.31","1525.05","1280.61","1415.21","1361.99","1202.56","980.14","781.78","742.90","569.29","453.64","390.80","310.22","260.98","222.65","671.37","704.95"
"Armenia","551.54","549.47","439.43","418.86","366.23","370.93","408.88","395.71","332.84","324.66","290.27","246.34","259.55","168.48","123.41","94.27","70.64","65.35","58.27","31.41","25.31"
"Australia","5901.11","5555.37","5864.39","5816.26","5454.00","5324.34","6139.39","5843.17","6071.65","5909.15","4975.47","4011.93","4107.01","3815.34","3194.03","3014.10","2760.83","2240.75","1763.70","1559.82","1636.53"
"Austria","5585.09","5262.05","5337.22","4938.92","4709.88","4612.82","5393.60","5235.34","4966.10","5167.82","4800.79","4928.99","5057.76","4478.77","3882.98","3710.40","3594.65","3091.24","2497.87","2282.52","2269.13"
"Azerbaijan","191.23","191.76","165.02","151.61","153.22","220.98","260.83","234.24","217.79","172.40","142.61","126.95","105.24","74.09","49.48","34.60","27.04","23.52","20.36","18.99","18.98"
"Bahamas","1851.00","1921.13","1920.34","2067.89","1692.26","1557.94","1589.97","1531.37","1491.60","1418.67","1421.71","1396.89","1410.94","1334.88","1242.35","1140.25","1067.92","1053.42","1013.74","990.31","945.44"
