country,year,"Life expectancy at birth, total (years)",GDP per capita (current US$),GNI (current US$),GDP (current US$),Urban population (% of total population),Rural population (% of total population),Military expenditure (% of GDP),General government final consumption expenditure (current US$),Population growth (annual %),Access to electricity (% of population),Food exports (% of merchandise exports),Food production index (2014-2016 = 100),Households and NPISHs final consumption expenditure (% of GDP)
MAR,2021,74.042,3795.38012695313,140921733325.916,142866329198.42,64.065,35.935,4.18351299275295,26532346887.6898,1.05148431222073,,20.7071224166217,115.66,59.4617156509266
MAR,2020,73.92,3258.12133789063,120187958049.027,121348138320.276,63.532,36.468,4.28102888137034,23561199561.9577,1.05316017914606,100.0,23.0892003189256,98.63,59.0613309915925
MAR,2019,74.27,3498.57397460938,126978299071.446,128919944681.869,62.994,37.006,3.09993597018717,23436274968.5456,1.04358412669917,99.5999984741211,21.16875343312,110.16,59.038130849564
MAR,2018,73.986,3492.67333984375,125425363036.831,127341174715.803,62.453,37.547,3.11858755477666,22916014105.9652,1.1178970270223,98.0999984741211,20.6267247799896,115.69,59.4626839697901
MAR,2017,73.66,3288.50219726563,116714403631.861,118540548906.314,61.908,38.092,3.18304123871317,21315930664.4655,1.1916294240897,100.0,21.1267328919659,108.46,59.3203904621397
MAR,2016,73.284,3132.94458007813,110025898547.03,111572673973.999,61.36,38.64,3.21952644098666,20486668366.0464,1.22317023430594,97.8000030517578,20.8776413974112,91.86,59.3337531037268
MAR,2015,72.92,3139.24365234375,108703542496.646,110414366621.263,60.809,39.191,3.23015334784149,20047315219.729,1.25305827289905,97.3000030517578,20.3035474942874,108.1,58.9633426365735
MAR,2014,72.538,3430.54956054688,116738398582.016,119131365761.393,60.256,39.744,3.67785635244484,22760191760.9412,1.3080629397791,91.5999984741211,18.8315482309376,100.05,61.7482180908958
MAR,2013,72.122,3117.51513671875,105369103563.143,106825649872.108,59.7,40.3,3.80578290120645,21213372196.7759,1.34423384293623,97.1999969482422,18.8627949683177,98.53,59.9321990861132
MAR,2012,71.679,2907.44921875,96282277131.3337,98266306615.3632,59.142,40.858,3.46275007931538,19492605813.3605,1.35377246657382,94.2105178833008,17.237560589665,92.34,60.4102462491788
MAR,2011,71.269,3041.14575195313,99660564407.471,101370474295.109,58.581,41.419,3.29749523520352,18956971037.9609,1.34266554348538,93.4464340209961,17.3269863771016,96.26,59.5490423460236
MAR,2010,70.829,2835.2177734375,91932709214.4656,93216746661.5977,58.018,41.982,3.39079610106242,16730385401.3211,1.30835154510463,92.6713790893555,18.8408421425289,92.86,58.7593547992414
MAR,2009,70.458,2863.5966796875,91615593699.9665,92897320375.8176,57.452,42.548,3.28865184646812,16944309987.4645,1.28110624620562,85.5201644897461,22.9786829686528,90.53,58.6227075297635
MAR,2008,70.048,2889.22094726563,92310878288.5824,92507257783.5697,56.886,43.114,3.18350142755722,15510883449.6729,1.28003720148764,83.7323303222656,17.44639869214,76.5,58.3317874522811
MAR,2007,69.604,2501.22241210938,78758712449.4953,79041294874.4553,56.317,43.683,3.04695366406602,13843731308.6679,1.28772191974814,81.9544296264648,19.9461599644417,69.26,57.943879048075
MAR,2006,69.128,2200.96606445313,68261901950.9755,68640825480.9223,55.746,44.254,3.10979633409935,12246634715.0848,1.30947924386268,96.5,19.2663705222364,82.05,57.2416451512722
MAR,2005,68.704,2026.02587890625,62069051539.7631,62343022650.8742,55.174,44.826,3.25799678207968,11562766395.9391,1.31905268782034,78.4176177978516,21.1921452283433,69.01,57.249919166089
MAR,2004,68.231,1964.080078125,59054249616.599,59626020162.3816,54.644,45.356,3.24946757487646,10676088385.2052,1.2458784781145,78.1999969482422,19.0289972033793,73.29,56.542060417997
