COD_PAIS,ANIO,COD_INDICADOR,VALOR
MAR,2021,SP.DYN.LE00.IN,74.042
MAR,2020,SP.DYN.LE00.IN,73.92
MAR,2019,SP.DYN.LE00.IN,74.27
MAR,2018,SP.DYN.LE00.IN,73.986
MAR,2017,SP.DYN.LE00.IN,73.66
MAR,2016,SP.DYN.LE00.IN,73.284
MAR,2015,SP.DYN.LE00.IN,72.92
MAR,2014,SP.DYN.LE00.IN,72.538
MAR,2013,SP.DYN.LE00.IN,72.122
MAR,2012,SP.DYN.LE00.IN,71.679
MAR,2011,SP.DYN.LE00.IN,71.269
MAR,2010,SP.DYN.LE00.IN,70.829
MAR,2009,SP.DYN.LE00.IN,70.458
MAR,2008,SP.DYN.LE00.IN,70.048
MAR,2007,SP.DYN.LE00.IN,69.604
MAR,2006,SP.DYN.LE00.IN,69.128
MAR,2005,SP.DYN.LE00.IN,68.704
MAR,2004,SP.DYN.LE00.IN,68.231
MAR,2003,SP.DYN.LE00.IN,67.915
MAR,2002,SP.DYN.LE00.IN,67.547
MAR,2001,SP.DYN.LE00.IN,67.18
MAR,2000,SP.DYN.LE00.IN,66.787
MAR,1999,SP.DYN.LE00.IN,66.406
MAR,1998,SP.DYN.LE00.IN,66.018
MAR,1997,SP.DYN.LE00.IN,65.629
MAR,1996,SP.DYN.LE00.IN,65.238
MAR,1995,SP.DYN.LE00.IN,64.736
MAR,1994,SP.DYN.LE00.IN,64.346
MAR,1993,SP.DYN.LE00.IN,63.872
MAR,1992,SP.DYN.LE00.IN,63.401
MAR,1991,SP.DYN.LE00.IN,62.946
MAR,1990,SP.DYN.LE00.IN,62.448
KEN,2021,SP.DYN.LE00.IN,61.427
KEN,2020,SP.DYN.LE00.IN,62.675
KEN,2019,SP.DYN.LE00.IN,62.943
KEN,2018,SP.DYN.LE00.IN,62.676
KEN,2017,SP.DYN.LE00.IN,62.481
KEN,2016,SP.DYN.LE00.IN,62.163
KEN,2015,SP.DYN.LE00.IN,61.892
KEN,2014,SP.DYN.LE00.IN,61.816
KEN,2013,SP.DYN.LE00.IN,61.389
KEN,2012,SP.DYN.LE00.IN,61.115
KEN,2011,SP.DYN.LE00.IN,61.046
KEN,2010,SP.DYN.LE00.IN,60.649
KEN,2009,SP.DYN.LE00.IN,60.365
KEN,2008,SP.DYN.LE00.IN,59.614
KEN,2007,SP.DYN.LE00.IN,58.865
KEN,2006,SP.DYN.LE00.IN,58.222
KEN,2005,SP.DYN.LE00.IN,57.344
KEN,2004,SP.DYN.LE00.IN,56.361
KEN,2003,SP.DYN.LE00.IN,55.601
KEN,2002,SP.DYN.LE00.IN,54.99
KEN,2001,SP.DYN.LE00.IN,54.508
KEN,2000,SP.DYN.LE00.IN,54.411
KEN,1999,SP.DYN.LE00.IN,54.495
KEN,1998,SP.DYN.LE00.IN,54.526
KEN,1997,SP.DYN.LE00.IN,54.816
KEN,1996,SP.DYN.LE00.IN,55.161
KEN,1995,SP.DYN.LE00.IN,55.617
KEN,1994,SP.DYN.LE00.IN,56.273
KEN,1993,SP.DYN.LE00.IN,56.617
KEN,1992,SP.DYN.LE00.IN,57.259
KEN,1991,SP.DYN.LE00.IN,58.005
KEN,1990,SP.DYN.LE00.IN,58.614
IRN,2021,SP.DYN.LE00.IN,73.875
IRN,2020,SP.DYN.LE00.IN,74.832
IRN,2019,SP.DYN.LE00.IN,76.103
IRN,2018,SP.DYN.LE00.IN,76.195
IRN,2017,SP.DYN.LE00.IN,75.971
IRN,2016,SP.DYN.LE00.IN,75.6
IRN,2015,SP.DYN.LE00.IN,75.124
IRN,2014,SP.DYN.LE00.IN,74.782
IRN,2013,SP.DYN.LE00.IN,74.449
IRN,2012,SP.DYN.LE00.IN,74.186
IRN,2011,SP.DYN.LE00.IN,73.679
IRN,2010,SP.DYN.LE00.IN,73.069
IRN,2009,SP.DYN.LE00.IN,72.698
IRN,2008,SP.DYN.LE00.IN,72.624
IRN,2007,SP.DYN.LE00.IN,72.772
IRN,2006,SP.DYN.LE00.IN,72.276
IRN,2005,SP.DYN.LE00.IN,71.838
IRN,2004,SP.DYN.LE00.IN,71.37
IRN,2003,SP.DYN.LE00.IN,69.823
IRN,2002,SP.DYN.LE00.IN,70.445
IRN,2001,SP.DYN.LE00.IN,69.955
IRN,2000,SP.DYN.LE00.IN,69.691
IRN,1999,SP.DYN.LE00.IN,69.297
IRN,1998,SP.DYN.LE00.IN,68.73
IRN,1997,SP.DYN.LE00.IN,68.359
IRN,1996,SP.DYN.LE00.IN,68.07
IRN,1995,SP.DYN.LE00.IN,67.785
IRN,1994,SP.DYN.LE00.IN,67.468
IRN,1993,SP.DYN.LE00.IN,67.139
IRN,1992,SP.DYN.LE00.IN,66.776
IRN,1991,SP.DYN.LE00.IN,66.459
IRN,1990,SP.DYN.LE00.IN,64.367
IRQ,2021,SP.DYN.LE00.IN,70.378
IRQ,2020,SP.DYN.LE00.IN,69.123
IRQ,2019,SP.DYN.LE00.IN,71.576
IRQ,2018,SP.DYN.LE00.IN,71.514
IRQ,2017,SP.DYN.LE00.IN,70.413
IRQ,2016,SP.DYN.LE00.IN,68.988
IRQ,2015,SP.DYN.LE00.IN,69.44
IRQ,2014,SP.DYN.LE00.IN,68.914
IRQ,2013,SP.DYN.LE00.IN,68.253
IRQ,2012,SP.DYN.LE00.IN,68.023
IRQ,2011,SP.DYN.LE00.IN,67.659
IRQ,2010,SP.DYN.LE00.IN,67.062
