country,year,"Life expectancy at birth, total (years)",GDP per capita (current US$),GNI (current US$),GDP (current US$),Urban population (% of total population),Rural population (% of total population),Military expenditure (% of GDP),General government final consumption expenditure (current US$),Population growth (annual %),Access to electricity (% of population),Food exports (% of merchandise exports),Food production index (2014-2016 = 100),Households and NPISHs final consumption expenditure (% of GDP)
MAR,2022,71.7,13248.38,1217376871771.15,1204602588401.44,60.39,39.61,1.98,209676319230.43,1.3,87.97,16.57,84.77,62.11
KEN,2022,71.7,13248.38,1217376871771.15,1204602588401.44,60.39,39.61,1.98,209676319230.43,1.3,87.97,16.57,84.77,62.11
IRN,2022,71.7,13248.38,1217376871771.15,1204602588401.44,60.39,39.61,1.98,209676319230.43,1.3,87.97,16.57,84.77,62.11
IRQ,2022,71.7,13248.38,1217376871771.15,1204602588401.44,60.39,39.61,1.98,209676319230.43,1.3,87.97,16.57,84.77,62.11
ETH,2022,71.7,13248.38,1217376871771.15,1204602588401.44,60.39,39.61,1.98,209676319230.43,1.3,87.97,16.57,84.77,62.11
EGY,2022,71.7,13248.38,1217376871771.15,1204602588401.44,60.39,39.61,1.98,209676319230.43,1.3,87.97,13.6071036917733,84.77,62.11
BGD,2022,71.7,13248.38,1217376871771.15,1204602588401.44,60.39,39.61,1.98,209676319230.43,1.3,87.97,16.57,84.77,62.11
AFG,2022,71.7,13248.38,1217376871771.15,1204602588401.44,60.39,39.61,1.98,209676319230.43,1.3,87.97,16.57,84.77,62.11
THA,2022,71.7,13248.38,1217376871771.15,1204602588401.44,60.39,39.61,1.98,209676319230.43,1.3,87.97,16.57,84.77,62.11
ZAF,2022,71.7,13248.38,1217376871771.15,1204602588401.44,60.39,39.61,1.98,209676319230.43,1.3,87.97,10.3922243694966,84.77,62.11
PER,2022,71.7,13248.38,1217376871771.15,1204602588401.44,60.39,39.61,1.98,209676319230.43,1.3,87.97,16.57,84.77,62.11
MEX,2022,71.7,13248.38,1217376871771.15,1204602588401.44,60.39,39.61,1.98,209676319230.43,1.3,87.97,8.26610954663959,84.77,62.11
IDN,2022,71.7,13248.38,1217376871771.15,1204602588401.44,60.39,39.61,1.98,209676319230.43,1.3,87.97,16.57,84.77,62.11
IND,2022,71.7,13248.38,1217376871771.15,1204602588401.44,60.39,39.61,1.98,209676319230.43,1.3,87.97,16.57,84.77,62.11
PHL,2022,71.7,13248.38,1217376871771.15,1204602588401.44,60.39,39.61,1.98,209676319230.43,1.3,87.97,9.18718629582136,84.77,62.11
VNM,2022,71.7,13248.38,1217376871771.15,1204602588401.44,60.39,39.61,1.98,209676319230.43,1.3,87.97,16.57,84.77,62.11
COL,2022,71.7,13248.38,1217376871771.15,1204602588401.44,60.39,39.61,1.98,209676319230.43,1.3,87.97,16.57,84.77,62.11
BRA,2022,71.7,13248.38,1217376871771.15,1204602588401.44,60.39,39.61,1.98,209676319230.43,1.3,87.97,39.5273943444507,84.77,62.11
ARG,2022,71.7,13248.38,1217376871771.15,1204602588401.44,60.39,39.61,1.98,209676319230.43,1.3,87.97,16.57,84.77,62.11
ALB,2022,71.7,13248.38,1217376871771.15,1204602588401.44,60.39,39.61,1.98,209676319230.43,1.3,87.97,16.57,84.77,62.11
SWE,2022,71.7,13248.38,1217376871771.15,1204602588401.44,60.39,39.61,1.98,209676319230.43,1.3,87.97,6.418649101825,84.77,62.11
RUS,2022,71.7,13248.38,1217376871771.15,1204602588401.44,60.39,39.61,1.98,209676319230.43,1.3,87.97,16.57,84.77,62.11
GBR,2022,71.7,13248.38,1217376871771.15,1204602588401.44,60.39,39.61,1.98,209676319230.43,1.3,87.97,6.38571725053113,84.77,62.11
JPN,2022,71.7,13248.38,1217376871771.15,1204602588401.44,60.39,39.61,1.98,209676319230.43,1.3,87.97,1.2062494202247,84.77,62.11
ITA,2022,71.7,13248.38,1217376871771.15,1204602588401.44,60.39,39.61,1.98,209676319230.43,1.3,87.97,9.40228289718811,84.77,62.11
USA,2022,71.7,13248.38,1217376871771.15,1204602588401.44,60.39,39.61,1.98,209676319230.43,1.3,87.97,10.2695349977485,84.77,62.11
ESP,2022,71.7,13248.38,1217376871771.15,1204602588401.44,60.39,39.61,1.98,209676319230.43,1.3,87.97,15.9962537305243,84.77,62.11
CAN,2022,71.7,13248.38,1217376871771.15,1204602588401.44,60.39,39.61,1.98,209676319230.43,1.3,87.97,12.4714659683965,84.77,62.11
AUS,2022,71.7,13248.38,1217376871771.15,1204602588401.44,60.39,39.61,1.98,209676319230.43,1.3,87.97,11.0328119505819,84.77,62.11
DEU,2022,71.7,13248.38,1217376871771.15,1204602588401.44,60.39,39.61,1.98,209676319230.43,1.3,87.97,5.63901558200396,84.77,62.11
